"Genes","Scores","Type","Description"
"INTS5","9.05e-7","Peripheral","integrator complex subunit 5"
"SOX18","9.05e-7","Peripheral","SRY-box transcription factor 18"
"SHROOM2","9.049e-7","Peripheral","shroom family member 2"
"COX19","9.047e-7","Peripheral","cytochrome c oxidase assembly factor COX19"
"PIWIL2","9.043e-7","Peripheral","piwi like RNA-mediated gene silencing 2"
"SRD5A2","9.042e-7","Peripheral","steroid 5 alpha-reductase 2"
"TBXT","9.041e-7","Peripheral","T-box transcription factor T"
"NMNAT1","9.036e-7","Peripheral","nicotinamide nucleotide adenylyltransferase 1"
"MGAM2","9.036e-7","Peripheral","maltase-glucoamylase 2 (putative)"
"TDRD1","9.033e-7","Peripheral","tudor domain containing 1"
"INHA","9.024e-7","Peripheral","inhibin subunit alpha"
"API5","9.023e-7","Peripheral","apoptosis inhibitor 5"
"PLEKHG2","9.018e-7","Peripheral","pleckstrin homology and RhoGEF domain containing G2"
"GPD1L","9.017e-7","Peripheral","glycerol-3-phosphate dehydrogenase 1 like"
"KLHL18","9.005e-7","Peripheral","kelch like family member 18"
"GPD1","9.003e-7","Peripheral","glycerol-3-phosphate dehydrogenase 1"
"INTS3","8.991e-7","Peripheral","integrator complex subunit 3"
"SLC29A1","8.99e-7","Peripheral","solute carrier family 29 member 1 (Augustine blood group)"
"VPS8","8.985e-7","Peripheral","VPS8 subunit of CORVET complex"
"DUSP11","8.978e-7","Peripheral","dual specificity phosphatase 11"
"KCNJ10","8.975e-7","Peripheral","potassium inwardly rectifying channel subfamily J member 10"
"CASC3","8.974e-7","Peripheral","CASC3 exon junction complex subunit"
"ADAMTS1","8.969e-7","Peripheral","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"TRMT61B","8.968e-7","Peripheral","tRNA methyltransferase 61B"
"SNAI3","8.968e-7","Peripheral","snail family transcriptional repressor 3"
"GDF6","8.965e-7","Peripheral","growth differentiation factor 6"
"MEX3B","8.961e-7","Peripheral","mex-3 RNA binding family member B"
"HOXB13","8.959e-7","Peripheral","homeobox B13"
"MOB1A","8.959e-7","Peripheral","MOB kinase activator 1A"
"DHRS11","8.958e-7","Peripheral","dehydrogenase/reductase 11"
"RPL34","8.955e-7","Peripheral","ribosomal protein L34"
"SLK","8.947e-7","Peripheral","STE20 like kinase"
"D2HGDH","8.944e-7","Peripheral","D-2-hydroxyglutarate dehydrogenase"
"RPSAP58","8.943e-7","Peripheral","ribosomal protein SA pseudogene 58"
"ATPAF1","8.942e-7","Peripheral","ATP synthase mitochondrial F1 complex assembly factor 1"
"ATPAF2","8.938e-7","Peripheral","ATP synthase mitochondrial F1 complex assembly factor 2"
"NSUN3","8.936e-7","Peripheral","NOP2/Sun RNA methyltransferase 3"
"SRD5A1","8.933e-7","Peripheral","steroid 5 alpha-reductase 1"
"NPC1","8.932e-7","Peripheral","NPC intracellular cholesterol transporter 1"
"ZCCHC8","8.932e-7","Peripheral","zinc finger CCHC-type containing 8"
"TSPO","8.932e-7","Peripheral","translocator protein"
"NDUFAF6","8.924e-7","Peripheral","NADH:ubiquinone oxidoreductase complex assembly factor 6"
"SMS","8.922e-7","Peripheral","spermine synthase"
"APPL2","8.92e-7","Peripheral","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
"CPLX4","8.918e-7","Peripheral","complexin 4"
"MTO1","8.909e-7","Peripheral","mitochondrial tRNA translation optimization 1"
"HIPK4","8.908e-7","Peripheral","homeodomain interacting protein kinase 4"
"GDE1","8.906e-7","Peripheral","glycerophosphodiester phosphodiesterase 1"
"CHN2","8.894e-7","Peripheral","chimerin 2"
"PHKA1","8.889e-7","Peripheral","phosphorylase kinase regulatory subunit alpha 1"
"PHKA2","8.889e-7","Peripheral","phosphorylase kinase regulatory subunit alpha 2"
"RBM24","8.888e-7","Peripheral","RNA binding motif protein 24"
"KLK13","8.885e-7","Peripheral","kallikrein related peptidase 13"
"TMED3","8.883e-7","Peripheral","transmembrane p24 trafficking protein 3"
"ZNF398","8.868e-7","Peripheral","zinc finger protein 398"
"SFRP4","8.868e-7","Peripheral","secreted frizzled related protein 4"
"PUM1","8.861e-7","Peripheral","pumilio RNA binding family member 1"
"ARL4C","8.86e-7","Peripheral","ADP ribosylation factor like GTPase 4C"
"NUFIP2","8.859e-7","Peripheral","nuclear FMR1 interacting protein 2"
"TBC1D24","8.859e-7","Peripheral","TBC1 domain family member 24"
"RPL37","8.857e-7","Peripheral","ribosomal protein L37"
"ACTRT3","8.854e-7","Peripheral","actin related protein T3"
"RPL7L1","8.853e-7","Peripheral","ribosomal protein L7 like 1"
"GREM2","8.843e-7","Peripheral","gremlin 2, DAN family BMP antagonist"
"AK5","8.842e-7","Peripheral","adenylate kinase 5"
"UTP20","8.84e-7","Peripheral","UTP20 small subunit processome component"
"LHX3","8.831e-7","Peripheral","LIM homeobox 3"
"CCKAR","8.822e-7","Peripheral","cholecystokinin A receptor"
"HSD17B3","8.816e-7","Peripheral","hydroxysteroid 17-beta dehydrogenase 3"
"RTRAF","8.814e-7","Peripheral","RNA transcription, translation and transport factor"
"GABPB1","8.81e-7","Peripheral","GA binding protein transcription factor subunit beta 1"
"ANXA10","8.808e-7","Peripheral","annexin A10"
"CPSF6","8.794e-7","Peripheral","cleavage and polyadenylation specific factor 6"
"NINL","8.782e-7","Peripheral","ninein like"
"LRRC56","8.78e-7","Peripheral","leucine rich repeat containing 56"
"UGT2B11","8.774e-7","Peripheral","UDP glucuronosyltransferase family 2 member B11"
"HFM1","8.774e-7","Peripheral","helicase for meiosis 1"
"IGFBP4","8.767e-7","Peripheral","insulin like growth factor binding protein 4"
"MOB1B","8.758e-7","Peripheral","MOB kinase activator 1B"
"TRAM1","8.754e-7","Peripheral","translocation associated membrane protein 1"
"PSMG3","8.748e-7","Peripheral","proteasome assembly chaperone 3"
"ISYNA1","8.747e-7","Peripheral","inositol-3-phosphate synthase 1"
"IQCG","8.745e-7","Peripheral","IQ motif containing G"
"NRGN","8.745e-7","Peripheral","neurogranin"
"NGDN","8.737e-7","Peripheral","neuroguidin"
"TMIGD3","8.731e-7","Peripheral","transmembrane and immunoglobulin domain containing 3"
"FBXO8","8.722e-7","Peripheral","F-box protein 8"
"UGT2B7","8.722e-7","Peripheral","UDP glucuronosyltransferase family 2 member B7"
"PIGA","8.72e-7","Peripheral","phosphatidylinositol glycan anchor biosynthesis class A"
"CNBP","8.72e-7","Peripheral","CCHC-type zinc finger nucleic acid binding protein"
"RRP36","8.718e-7","Peripheral","ribosomal RNA processing 36"
"RPL22","8.714e-7","Peripheral","ribosomal protein L22"
"ALDH1A1","8.709e-7","Peripheral","aldehyde dehydrogenase 1 family member A1"
"PALS2","8.707e-7","Peripheral","protein associated with LIN7 2, MAGUK p55 family member"
"ACAP2","8.7e-7","Peripheral","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"LRRC4","8.696e-7","Peripheral","leucine rich repeat containing 4"
"PLA2G4D","8.692e-7","Peripheral","phospholipase A2 group IVD"
"PITX1","8.688e-7","Peripheral","paired like homeodomain 1"
"EEF1B2","8.685e-7","Peripheral","eukaryotic translation elongation factor 1 beta 2"
"RPL28","8.681e-7","Peripheral","ribosomal protein L28"
"FTH1","8.677e-7","Peripheral","ferritin heavy chain 1"
"PTAR1","8.676e-7","Peripheral","protein prenyltransferase alpha subunit repeat containing 1"
"TRHR","8.672e-7","Peripheral","thyrotropin releasing hormone receptor"
"PPM1J","8.665e-7","Peripheral","protein phosphatase, Mg2+/Mn2+ dependent 1J"
"CHP1","8.655e-7","Peripheral","calcineurin like EF-hand protein 1"
"ARSK","8.652e-7","Peripheral","arylsulfatase family member K"
"NDUFAF2","8.651e-7","Peripheral","NADH:ubiquinone oxidoreductase complex assembly factor 2"
"UGT2A1","8.645e-7","Peripheral","UDP glucuronosyltransferase family 2 member A1 complex locus"
"PORCN","8.643e-7","Peripheral","porcupine O-acyltransferase"
"WARS1","8.639e-7","Peripheral","tryptophanyl-tRNA synthetase 1"
"CDK10","8.637e-7","Peripheral","cyclin dependent kinase 10"
"TRIM47","8.634e-7","Peripheral","tripartite motif containing 47"
"CNGA1","8.631e-7","Peripheral","cyclic nucleotide gated channel subunit alpha 1"
"RPL36","8.627e-7","Peripheral","ribosomal protein L36"
"SMG1","8.611e-7","Peripheral","SMG1 nonsense mediated mRNA decay associated PI3K related kinase"
"UNKL","8.61e-7","Peripheral","unk like zinc finger"
"ASPDH","8.609e-7","Peripheral","aspartate dehydrogenase domain containing"
"GALE","8.608e-7","Peripheral","UDP-galactose-4-epimerase"
"PACSIN3","8.607e-7","Peripheral","protein kinase C and casein kinase substrate in neurons 3"
"FHL1","8.607e-7","Peripheral","four and a half LIM domains 1"
"ACSS2","8.607e-7","Peripheral","acyl-CoA synthetase short chain family member 2"
"TTC8","8.603e-7","Peripheral","tetratricopeptide repeat domain 8"
"MYO1G","8.597e-7","Peripheral","myosin IG"
"WDR70","8.596e-7","Peripheral","WD repeat domain 70"
"PCTP","8.589e-7","Peripheral","phosphatidylcholine transfer protein"
"ACOT11","8.589e-7","Peripheral","acyl-CoA thioesterase 11"
"ZDHHC7","8.581e-7","Peripheral","zinc finger DHHC-type palmitoyltransferase 7"
"GRM7","8.581e-7","Peripheral","glutamate metabotropic receptor 7"
"DDX52","8.574e-7","Peripheral","DExD-box helicase 52"
"CEP76","8.568e-7","Peripheral","centrosomal protein 76"
"TENT5A","8.56e-7","Peripheral","terminal nucleotidyltransferase 5A"
"UGT2B28","8.558e-7","Peripheral","UDP glucuronosyltransferase family 2 member B28"
"SRSF11","8.558e-7","Peripheral","serine and arginine rich splicing factor 11"
"PTRH2","8.556e-7","Peripheral","peptidyl-tRNA hydrolase 2"
"GARS1","8.555e-7","Peripheral","glycyl-tRNA synthetase 1"
"DNTTIP2","8.553e-7","Peripheral","deoxynucleotidyltransferase terminal interacting protein 2"
"PPIL6","8.553e-7","Peripheral","peptidylprolyl isomerase like 6"
"WIF1","8.546e-7","Peripheral","WNT inhibitory factor 1"
"LPCAT3","8.544e-7","Peripheral","lysophosphatidylcholine acyltransferase 3"
"CDC42EP5","8.544e-7","Peripheral","CDC42 effector protein 5"
"ZNF207","8.541e-7","Peripheral","zinc finger protein 207"
"SCAP","8.534e-7","Peripheral","SREBF chaperone"
"SON","8.532e-7","Peripheral","SON DNA and RNA binding protein"
"TENT2","8.532e-7","Peripheral","terminal nucleotidyltransferase 2"
"NOTCH2NLC","8.531e-7","Peripheral","notch 2 N-terminal like C"
"CNTNAP4","8.529e-7","Peripheral","contactin associated protein family member 4"
"GNPNAT1","8.525e-7","Peripheral","glucosamine-phosphate N-acetyltransferase 1"
"PSD","8.516e-7","Peripheral","pleckstrin and Sec7 domain containing"
"KANK2","8.513e-7","Peripheral","KN motif and ankyrin repeat domains 2"
"SSTR3","8.508e-7","Peripheral","somatostatin receptor 3"
"AMDHD2","8.508e-7","Peripheral","amidohydrolase domain containing 2"
"TCP10L","8.499e-7","Peripheral","t-complex 10 like"
"ZBED1","8.496e-7","Peripheral","zinc finger BED-type containing 1"
"PRMT2","8.471e-7","Peripheral","protein arginine methyltransferase 2"
"HSPBAP1","8.469e-7","Peripheral","HSPB1 associated protein 1"
"LHB","8.468e-7","Peripheral","luteinizing hormone subunit beta"
"TPRKB","8.462e-7","Peripheral","TP53RK binding protein"
"LAGE3","8.462e-7","Peripheral","L antigen family member 3"
"F13B","8.462e-7","Peripheral","coagulation factor XIII B chain"
"UGT1A5","8.461e-7","Peripheral","UDP glucuronosyltransferase family 1 member A5"
"UGT1A10","8.456e-7","Peripheral","UDP glucuronosyltransferase family 1 member A10"
"CDC42BPB","8.444e-7","Peripheral","CDC42 binding protein kinase beta"
"WDR26","8.44e-7","Peripheral","WD repeat domain 26"
"CPA3","8.43e-7","Peripheral","carboxypeptidase A3"
"PEBP4","8.426e-7","Peripheral","phosphatidylethanolamine binding protein 4"
"RPL36A","8.424e-7","Peripheral","ribosomal protein L36a"
"GET1","8.419e-7","Peripheral","guided entry of tail-anchored proteins factor 1"
"SLC4A1","8.411e-7","Peripheral","solute carrier family 4 member 1 (Diego blood group)"
"CWF19L2","8.404e-7","Peripheral","CWF19 like cell cycle control factor 2"
"CYP26A1","8.403e-7","Peripheral","cytochrome P450 family 26 subfamily A member 1"
"RER1","8.403e-7","Peripheral","retention in endoplasmic reticulum sorting receptor 1"
"IVD","8.399e-7","Peripheral","isovaleryl-CoA dehydrogenase"
"KCNJ12","8.396e-7","Peripheral","potassium inwardly rectifying channel subfamily J member 12"
"RPL26L1","8.394e-7","Peripheral","ribosomal protein L26 like 1"
"SFRP5","8.391e-7","Peripheral","secreted frizzled related protein 5"
"NSMCE1","8.384e-7","Peripheral","NSE1 homolog, SMC5-SMC6 complex component"
"CPEB2","8.382e-7","Peripheral","cytoplasmic polyadenylation element binding protein 2"
"RPLP1","8.381e-7","Peripheral","ribosomal protein lateral stalk subunit P1"
"RFXANK","8.378e-7","Peripheral","regulatory factor X associated ankyrin containing protein"
"ACOXL","8.375e-7","Peripheral","acyl-CoA oxidase like"
"SLC7A8","8.374e-7","Peripheral","solute carrier family 7 member 8"
"MYO1D","8.368e-7","Peripheral","myosin ID"
"NME6","8.367e-7","Peripheral","NME/NM23 nucleoside diphosphate kinase 6"
"CMTR1","8.363e-7","Peripheral","cap methyltransferase 1"
"SLC25A10","8.362e-7","Peripheral","solute carrier family 25 member 10"
"PNP","8.36e-7","Peripheral","purine nucleoside phosphorylase"
"ARSJ","8.358e-7","Peripheral","arylsulfatase family member J"
"ARSI","8.358e-7","Peripheral","arylsulfatase family member I"
"FILIP1","8.357e-7","Peripheral","filamin A interacting protein 1"
"ARHGAP24","8.357e-7","Peripheral","Rho GTPase activating protein 24"
"CMIP","8.357e-7","Peripheral","c-Maf inducing protein"
"ACAD11","8.351e-7","Peripheral","acyl-CoA dehydrogenase family member 11"
"ADA2","8.349e-7","Peripheral","adenosine deaminase 2"
"ANGEL2","8.343e-7","Peripheral","angel homolog 2"
"ATP6V0B","8.342e-7","Peripheral","ATPase H+ transporting V0 subunit b"
"LIMS4","8.34e-7","Peripheral","LIM zinc finger domain containing 4"
"RUBCNL","8.335e-7","Peripheral","rubicon like autophagy enhancer"
"MRPL3","8.334e-7","Peripheral","mitochondrial ribosomal protein L3"
"TET3","8.334e-7","Peripheral","tet methylcytosine dioxygenase 3"
"POLM","8.331e-7","Peripheral","DNA polymerase mu"
"FCF1","8.327e-7","Peripheral","FCF1 rRNA-processing protein"
"OIP5","8.327e-7","Peripheral","Opa interacting protein 5"
"TTC38","8.325e-7","Peripheral","tetratricopeptide repeat domain 38"
"NME3","8.316e-7","Peripheral","NME/NM23 nucleoside diphosphate kinase 3"
"ASGR1","8.313e-7","Peripheral","asialoglycoprotein receptor 1"
"ERCC6L2","8.312e-7","Peripheral","ERCC excision repair 6 like 2"
"MRPS5","8.311e-7","Peripheral","mitochondrial ribosomal protein S5"
"PNPLA4","8.3e-7","Peripheral","patatin like phospholipase domain containing 4"
"NOL11","8.299e-7","Peripheral","nucleolar protein 11"
"MMAA","8.298e-7","Peripheral","metabolism of cobalamin associated A"
"CMPK1","8.294e-7","Peripheral","cytidine/uridine monophosphate kinase 1"
"WAC","8.294e-7","Peripheral","WW domain containing adaptor with coiled-coil"
"VSX2","8.29e-7","Peripheral","visual system homeobox 2"
"SCG3","8.287e-7","Peripheral","secretogranin III"
"YJU2","8.283e-7","Peripheral","YJU2 splicing factor homolog"
"DKK4","8.281e-7","Peripheral","dickkopf WNT signaling pathway inhibitor 4"
"IDUA","8.277e-7","Peripheral","alpha-L-iduronidase"
"ADIPOR2","8.274e-7","Peripheral","adiponectin receptor 2"
"ZNHIT2","8.273e-7","Peripheral","zinc finger HIT-type containing 2"
"MIER3","8.267e-7","Peripheral","MIER family member 3"
"CCDC121","8.26e-7","Peripheral","coiled-coil domain containing 121"
"NEIL1","8.249e-7","Peripheral","nei like DNA glycosylase 1"
"ADD1","8.246e-7","Peripheral","adducin 1"
"PLS1","8.246e-7","Peripheral","plastin 1"
"ASCL2","8.245e-7","Peripheral","achaete-scute family bHLH transcription factor 2"
"CDH22","8.245e-7","Peripheral","cadherin 22"
"LYNX1-SLURP2","8.244e-7","Peripheral","LYNX1-SLURP2 readthrough"
"LHX4","8.242e-7","Peripheral","LIM homeobox 4"
"RAB34","8.242e-7","Peripheral","RAB34, member RAS oncogene family"
"NOL12","8.239e-7","Peripheral","nucleolar protein 12"
"METAP2","8.237e-7","Peripheral","methionyl aminopeptidase 2"
"ATP1B2","8.232e-7","Peripheral","ATPase Na+/K+ transporting subunit beta 2"
"PAFAH1B3","8.223e-7","Peripheral","platelet activating factor acetylhydrolase 1b catalytic subunit 3"
"RPL39","8.22e-7","Peripheral","ribosomal protein L39"
"SKA1","8.214e-7","Peripheral","spindle and kinetochore associated complex subunit 1"
"NSMCE4A","8.21e-7","Peripheral","NSE4 homolog A, SMC5-SMC6 complex component"
"RAB23","8.207e-7","Peripheral","RAB23, member RAS oncogene family"
"ERI1","8.203e-7","Peripheral","exoribonuclease 1"
"ITM2B","8.19e-7","Peripheral","integral membrane protein 2B"
"HTR7","8.184e-7","Peripheral","5-hydroxytryptamine receptor 7"
"SEPTIN10","8.178e-7","Peripheral","septin 10"
"RC3H1","8.173e-7","Peripheral","ring finger and CCCH-type domains 1"
"FCHSD1","8.173e-7","Peripheral","FCH and double SH3 domains 1"
"NTMT1","8.168e-7","Peripheral","N-terminal Xaa-Pro-Lys N-methyltransferase 1"
"SCO1","8.167e-7","Peripheral","synthesis of cytochrome C oxidase 1"
"NEGR1","8.165e-7","Peripheral","neuronal growth regulator 1"
"RGS7BP","8.165e-7","Peripheral","regulator of G protein signaling 7 binding protein"
"CHTOP","8.164e-7","Peripheral","chromatin target of PRMT1"
"DKK2","8.161e-7","Peripheral","dickkopf WNT signaling pathway inhibitor 2"
"IGFBP6","8.157e-7","Peripheral","insulin like growth factor binding protein 6"
"PIH1D2","8.153e-7","Peripheral","PIH1 domain containing 2"
"ZNF57","8.151e-7","Peripheral","zinc finger protein 57"
"PMEL","8.148e-7","Peripheral","premelanosome protein"
"KREMEN2","8.13e-7","Peripheral","kringle containing transmembrane protein 2"
"KREMEN1","8.13e-7","Peripheral","kringle containing transmembrane protein 1"
"PNPLA6","8.13e-7","Peripheral","patatin like phospholipase domain containing 6"
"CES1","8.121e-7","Peripheral","carboxylesterase 1"
"TRAPPC10","8.118e-7","Peripheral","trafficking protein particle complex subunit 10"
"CES2","8.117e-7","Peripheral","carboxylesterase 2"
"VASN","8.109e-7","Peripheral","vasorin"
"INTS2","8.106e-7","Peripheral","integrator complex subunit 2"
"MSI2","8.104e-7","Peripheral","musashi RNA binding protein 2"
"KCNIP4","8.099e-7","Peripheral","potassium voltage-gated channel interacting protein 4"
"SIX3","8.098e-7","Peripheral","SIX homeobox 3"
"SFTA3","8.094e-7","Peripheral","surfactant associated 3"
"INTS7","8.081e-7","Peripheral","integrator complex subunit 7"
"KATNA1","8.08e-7","Peripheral","katanin catalytic subunit A1"
